  
1 2 3 2 2.5 1.5
5 2 3 5 5 5

Coordinates
1            0            0            0
2            1            0            1
3            2            0            0
4            1            1            0
5            1            0           -1
EndCoordinates

Elements
1 1 2 3 4
2 1 4 3 5
EndElements

Dirichlet_U
1           4
2           4
5           4
EndDirichlet

Dirichlet_V
1           2
2           2
3           2
4           2
5           2
EndDirichlet

Dirichlet_W
1           3
2           3
3           3
4           3
5           3
EndDirichlet

Dirichlet_P
1           4
2           4
3           4
4           4
5           4
EndDirichlet
